Date,AAPL,AMZN,MSFT,NVDA
2025-01-02,242.3019256591797,220.22000122070312,413.6726379394531,138.26470947265625
2025-01-03,241.81504821777344,224.19000244140625,418.38671875,144.4226837158203
2025-01-06,243.44461059570312,227.61000061035156,422.8339538574219,149.38104248046875
2025-01-07,240.67233276367188,222.11000061035156,417.418212890625,140.09408569335938
2025-01-08,241.15921020507812,222.1300048828125,419.5825500488281,140.06410217285156
2025-01-10,235.34637451171875,218.94000244140625,414.038330078125,135.86549377441406
2025-01-13,232.9119110107422,218.4600067138672,412.2989196777344,133.18637084960938
2025-01-14,231.7990264892578,217.75999450683594,410.7967224121094,131.71682739257812
2025-01-15,236.35987854003906,223.35000610351562,421.31201171875,136.1953887939453
2025-01-16,226.81088256835938,220.66000366210938,419.6022644042969,133.5262451171875
2025-01-17,228.51995849609375,225.94000244140625,424.0001220703125,137.66490173339844
2025-01-21,221.2265625,230.7100067138672,423.476318359375,140.78387451171875
2025-01-22,222.4090118408203,235.00999450683594,440.96881103515625,147.0218505859375
2025-01-23,222.24012756347656,235.4199981689453,441.47283935546875,147.17178344726562
2025-01-24,221.36566162109375,234.85000610351562,438.8539123535156,142.5732879638672
2025-01-27,228.40074157714844,235.4199981689453,429.46527099609375,118.38121032714844
2025-01-28,236.74740600585938,238.14999389648438,441.9571228027344,128.94775390625
2025-01-29,237.84042358398438,237.07000732421875,437.1441650390625,123.65947723388672
2025-01-30,236.0816650390625,234.63999938964844,410.1247253417969,124.60917663574219
2025-01-31,234.5017547607422,237.67999267578125,410.1938781738281,120.03067016601562
2025-02-03,226.56246948242188,237.4199981689453,406.1024475097656,116.62179565429688
2025-02-04,231.32208251953125,242.05999755859375,407.535400390625,118.61113739013672
2025-02-05,230.99417114257812,236.1699981689453,408.44464111328125,124.78910827636719
2025-02-06,231.73941040039062,238.8300018310547,410.94500732421875,128.63784790039062
2025-02-07,226.1848907470703,229.14999389648438,404.9461364746094,129.79747009277344
2025-02-10,226.45346069335938,233.13999938964844,407.3871765136719,133.5262451171875
2025-02-11,231.39735412597656,232.75999450683594,406.6163635253906,132.7565155029297
2025-02-12,235.62501525878906,228.92999267578125,404.2444763183594,131.0970458984375
2025-02-13,240.26052856445312,230.3699951171875,405.7268981933594,135.24566650390625
2025-02-14,243.31439208984375,228.67999267578125,403.6416015625,138.8045196533203
2025-02-18,243.18507385253906,226.64999389648438,404.8374328613281,139.35433959960938
2025-02-19,243.5829620361328,226.6300048828125,409.9072570800781,139.18438720703125
2025-02-20,244.5379180908203,222.8800048828125,412.0759582519531,140.06410217285156
2025-02-21,244.25938415527344,216.5800018310547,404.2331237792969,134.38595581054688
2025-02-24,245.80125427246094,212.7100067138672,400.0641174316406,130.23733520507812
2025-02-25,245.74154663085938,212.8000030517578,394.0235595703125,126.5885238647461
2025-02-26,239.0966796875,214.35000610351562,395.83575439453125,131.23699951171875
2025-02-27,236.05276489257812,208.74000549316406,388.70587158203125,120.11064910888672
2025-02-28,240.5688934326172,212.27999877929688,393.1224365234375,124.87908172607422
2025-03-03,236.77891540527344,205.02000427246094,384.70526123046875,114.02263641357422
2025-03-04,234.68994140625,203.8000030517578,384.82403564453125,115.9520034790039
2025-03-05,234.50096130371094,208.36000061035156,397.1131591796875,117.26158142089844
2025-03-06,234.09312438964844,200.6999969482422,393.0234375,110.53378295898438
2025-03-07,237.81346130371094,199.25,389.47833251953125,112.65309143066406
2025-03-10,226.28436279296875,194.5399932861328,376.4563903808594,106.94495391845703
2025-03-11,219.67926025390625,196.58999633789062,376.74359130859375,108.72437286376953
2025-03-12,215.83953857421875,198.88999938964844,379.5360412597656,115.71273803710938
2025-03-13,208.57789611816406,193.88999938964844,375.0799255371094,115.55277252197266
2025-03-14,212.36788940429688,197.9499969482422,384.7745361328125,121.6413345336914
2025-03-17,212.87521362304688,195.74000549316406,384.9132080078125,119.50183868408203
2025-03-18,211.57211303710938,192.82000732421875,379.7836608886719,115.4028091430664
2025-03-19,214.1086883544922,195.5399932861328,384.04180908203125,117.4923095703125
2025-03-20,212.97471618652344,194.9499969482422,383.07135009765625,118.50206756591797
2025-03-21,217.12277221679688,196.2100067138672,387.4482421875,117.6722640991211
2025-03-24,219.56982421875,203.25999450683594,389.25054931640625,121.38140106201172
2025-03-25,222.57395935058594,205.7100067138672,391.31024169921875,120.66156768798828
2025-03-26,220.3656463623047,201.1300048828125,386.1708068847656,113.73320007324219
2025-03-27,222.6734619140625,201.36000061035156,386.7748718261719,111.40374755859375
2025-03-28,216.7547149658203,192.72000122070312,375.109619140625,109.64415740966797
2025-03-31,220.96249389648438,190.25999450683594,371.7328796386719,108.35446166992188
2025-04-01,222.01690673828125,192.1699981689453,378.46661376953125,110.12405395507812
2025-04-02,222.71324157714844,196.00999450683594,378.4171447753906,110.39398193359375
2025-04-03,202.12200927734375,178.41000366210938,369.4750671386719,101.7760238647461
2025-04-04,187.389892578125,171.0,356.3343505859375,94.28778076171875
2025-04-07,180.50625610351562,175.25999450683594,354.3736572265625,97.61698913574219
2025-04-08,171.5137481689453,170.66000366210938,351.1058044433594,96.27731323242188
2025-04-09,197.8048553466797,191.10000610351562,386.68572998046875,114.30307006835938
2025-04-10,189.4191436767578,181.22000122070312,377.63482666015625,107.5446548461914
2025-04-11,197.1085205078125,184.8699951171875,384.6656494140625,110.90386199951172
2025-04-14,201.45556640625,182.1199951171875,384.0318603515625,110.68391418457031
2025-04-15,201.07754516601562,179.58999633789062,381.9721374511719,112.1735610961914
2025-04-16,193.24891662597656,174.3300018310547,367.9896545410156,104.46538543701172
2025-04-17,195.94467163085938,172.61000061035156,364.1969909667969,101.46607971191406
2025-04-21,192.14474487304688,167.32000732421875,355.621337890625,96.88717651367188
2025-04-22,198.690185546875,173.17999267578125,363.2463684082031,98.86669921875
2025-04-23,203.52462768554688,180.60000610351562,370.74261474609375,102.68580627441406
2025-04-24,207.27481079101562,186.5399932861328,383.52679443359375,106.40491485595703
2025-04-25,208.18002319335938,188.99000549316406,388.0325012207031,110.98385620117188
2025-04-28,209.03550720214844,187.6999969482422,387.3492126464844,108.70438385009766
2025-04-29,210.09988403320312,187.38999938964844,390.201171875,108.99431610107422
2025-04-30,211.3831024169922,184.4199981689453,391.4092712402344,108.89433288574219
2025-05-01,212.19879150390625,190.1999969482422,421.2556457519531,111.58370208740234
2025-05-02,204.27069091796875,189.97999572753906,431.0393981933594,114.47303009033203
2025-05-05,197.8446502685547,186.35000610351562,431.92071533203125,113.7931900024414
2025-05-06,197.4666290283203,185.00999450683594,429.0885925292969,113.51325988769531
2025-05-07,195.21852111816406,188.7100067138672,429.1282043457031,117.03242492675781
2025-05-08,196.45199584960938,192.0800018310547,433.9012451171875,117.34236145019531
2025-05-09,197.48654174804688,193.05999755859375,434.455810546875,116.62252044677734
2025-05-12,209.95706176757812,208.63999938964844,444.8832092285156,122.97103118896484
2025-05-13,212.08859252929688,211.3699951171875,444.7643737792969,129.89938354492188
2025-05-14,211.490966796875,210.25,448.52734375,135.30810546875
2025-05-15,210.6144561767578,205.1699981689453,449.5392761230469,134.79823303222656
2025-05-16,210.42520141601562,205.58999633789062,450.67022705078125,135.36810302734375
2025-05-19,207.9550018310547,206.16000366210938,455.2337951660156,135.53805541992188
2025-05-20,206.0426025390625,204.07000732421875,454.53936767578125,134.3483428955078
2025-05-21,201.2914276123047,201.1199951171875,448.98370361328125,131.76895141601562
2025-05-22,200.56431579589844,203.10000610351562,451.25555419921875,132.7987060546875
2025-05-23,194.49839782714844,200.99000549316406,446.6126403808594,131.25906372070312
2025-05-27,199.4188690185547,206.02000427246094,457.03936767578125,135.4680633544922
2025-05-28,199.62802124023438,204.72000122070312,453.7357482910156,134.7782440185547
2025-05-29,199.15989685058594,205.6999969482422,455.0453186035156,139.15721130371094
2025-05-30,200.05633544921875,205.00999450683594,456.71197509765625,135.09817504882812
2025-06-02,200.90296936035156,206.64999389648438,458.30926513671875,137.34764099121094
2025-06-03,202.46676635742188,205.7100067138672,459.30126953125,141.1867218017578
2025-06-04,202.01856994628906,207.22999572753906,460.19415283203125,141.88656616210938
2025-06-05,199.83721923828125,207.91000366210938,463.9739685058594,139.95703125
2025-06-06,203.11419677734375,213.57000732421875,466.6525573730469,141.6865997314453
2025-06-09,200.65396118164062,216.97999572753906,469.0038146972656,142.59640502929688
2025-06-10,201.869140625,217.61000061035156,467.1883239746094,143.92608642578125
2025-06-11,197.9945068359375,213.1999969482422,468.87481689453125,142.80625915527344
2025-06-12,198.41285705566406,213.24000549316406,475.0753173828125,144.9759063720703
2025-06-13,195.67372131347656,212.10000610351562,471.1962585449219,141.9464111328125
2025-06-16,197.6359405517578,216.10000610351562,475.34320068359375,144.66595458984375
2025-06-17,194.86691284179688,214.82000732421875,474.25189208984375,144.09603881835938
2025-06-18,195.80319213867188,212.52000427246094,476.4344482421875,145.455810546875
2025-06-20,200.2057342529297,209.69000244140625,473.6169128417969,143.8260955810547
2025-06-23,200.70376586914062,208.47000122070312,482.1488342285156,144.1460418701172
2025-06-24,199.50851440429688,212.77000427246094,486.2262268066406,147.87539672851562
2025-06-25,200.7635498046875,211.99000549316406,488.369140625,154.28436279296875
2025-06-26,200.2057342529297,217.1199951171875,493.5080871582031,154.99423217773438
2025-06-27,200.28541564941406,223.3000030517578,492.01007080078125,157.72378540039062
2025-06-30,204.3592529296875,219.38999938964844,493.4683837890625,157.96376037597656
2025-07-01,206.99879455566406,220.4600067138672,488.15081787109375,153.2745361328125
2025-07-02,211.6005401611328,219.9199981689453,487.198486328125,157.22386169433594
2025-07-03,212.70616149902344,223.41000366210938,494.8870849609375,159.3135223388672
2025-07-07,209.12037658691406,223.47000122070312,493.7759094238281,158.21371459960938
2025-07-08,209.1801300048828,219.36000061035156,492.68463134765625,159.97341918945312
2025-07-09,210.3056640625,222.5399932861328,499.52008056640625,162.85293579101562
2025-07-10,211.57064819335938,222.25999450683594,497.5061340332031,164.07273864746094
2025-07-11,210.32559204101562,225.02000427246094,499.33154296875,164.89259338378906
2025-07-14,207.79562377929688,225.69000244140625,499.0339050292969,164.04273986816406
2025-07-15,208.28369140625,226.35000610351562,501.811767578125,170.671630859375
2025-07-16,209.32955932617188,223.19000244140625,501.61334228515625,171.34152221679688
2025-07-17,209.19009399414062,223.8800048828125,507.6451416015625,172.97125244140625
2025-07-18,210.3455047607422,226.1300048828125,506.0082092285156,172.38136291503906
2025-07-21,211.64036560058594,229.3000030517578,506.0181579589844,171.35153198242188
2025-07-22,213.55279541015625,227.47000122070312,501.26611328125,167.00225830078125
2025-07-23,213.3037872314453,228.2899932861328,501.861328125,170.75161743164062
2025-07-24,212.91529846191406,232.22999572753906,506.8316650390625,173.7111358642578
2025-07-25,213.03485107421875,231.44000244140625,509.6392822265625,173.47117614746094
2025-07-28,213.20419311523438,232.7899932861328,508.4388122558594,176.7206268310547
2025-07-29,210.43515014648438,231.00999450683594,508.5082702636719,175.4808349609375
2025-07-30,208.22393798828125,230.19000244140625,509.1729431152344,179.24021911621094
2025-07-31,206.74978637695312,234.11000061035156,529.2723999023438,177.84043884277344
2025-08-01,201.58030700683594,214.75,519.9568481445312,173.69113159179688
2025-08-04,202.5464630126953,211.64999389648438,531.3953857421875,179.9700927734375
2025-08-05,202.1181640625,213.75,523.5679321289062,178.23037719726562
2025-08-06,212.4073486328125,222.30999755859375,520.7802124023438,179.3901824951172
2025-08-07,219.16053771972656,223.1300048828125,516.7127075195312,180.73997497558594
2025-08-08,228.4437255859375,222.69000244140625,517.9032592773438,182.6696319580078
2025-08-11,226.53909301757812,221.3000030517578,517.6353759765625,182.0297393798828
2025-08-12,229.0021209716797,221.47000122070312,525.046142578125,183.1295623779297
2025-08-13,232.6717529296875,224.55999755859375,516.4547729492188,181.55982971191406
2025-08-14,232.12330627441406,230.97999572753906,518.3396606445312,181.98974609375
2025-08-15,230.9366455078125,231.02999877929688,516.0479736328125,180.42001342773438
2025-08-18,230.23863220214844,231.49000549316406,513.0023803710938,181.97975158691406
2025-08-19,229.90956115722656,228.00999450683594,505.73040771484375,175.61080932617188
2025-08-20,225.3723907470703,223.80999755859375,501.7125244140625,175.370849609375
2025-08-21,224.26551818847656,221.9499969482422,501.06658935546875,174.95091247558594
2025-08-22,227.11744689941406,228.83999633789062,504.037841796875,177.96043395996094
2025-08-25,226.51914978027344,227.94000244140625,501.0865173339844,179.78012084960938
2025-08-26,228.6630859375,228.7100067138672,498.8804931640625,181.7397918701172
2025-08-27,229.8397674560547,229.1199951171875,503.5508728027344,181.56982421875
2025-08-28,231.9039306640625,231.60000610351562,506.4326477050781,180.1400604248047
2025-08-29,231.485107421875,229.0,503.501220703125,174.1510467529297
2025-09-02,229.0719451904297,225.33999633789062,501.9410705566406,170.75161743164062
2025-09-03,237.79725646972656,225.99000549316406,502.1696472167969,170.59165954589844
2025-09-04,239.10353088378906,235.67999267578125,504.7731628417969,171.63148498535156
2025-09-05,239.01380920410156,232.3300018310547,491.8847961425781,166.9922637939453
2025-09-08,237.20892333984375,235.83999633789062,495.06463623046875,168.2820281982422
2025-09-09,233.6888885498047,238.24000549316406,495.2733459472656,170.7316131591797
2025-09-10,226.1501922607422,230.3300018310547,497.2209777832031,177.300537109375
2025-09-11,229.3810577392578,229.9499969482422,497.8569641113281,177.1505584716797
2025-09-12,233.40968322753906,228.14999389648438,506.6910095214844,177.80047607421875
2025-09-15,236.03224182128906,231.42999267578125,512.1166381835938,177.73048400878906
2025-09-16,237.4781494140625,234.0500030517578,505.83642578125,174.86080932617188
2025-09-17,238.3157958984375,231.6199951171875,506.81024169921875,170.27130126953125
2025-09-18,237.20892333984375,231.22999572753906,505.2501525878906,176.2206573486328
2025-09-19,244.8074188232422,231.47999572753906,514.67041015625,176.6505889892578
2025-09-22,255.35755920410156,227.6300048828125,511.21234130859375,183.58984375
2025-09-23,253.7122344970703,220.7100067138672,506.0252685546875,178.410400390625
2025-09-24,251.5981903076172,220.2100067138672,506.9394226074219,176.9505615234375
2025-09-25,256.14532470703125,218.14999389648438,503.8390808105469,177.67050170898438
2025-09-26,254.73931884765625,219.77999877929688,508.2411804199219,178.17044067382812
2025-09-29,253.7122344970703,222.1699981689453,511.36138916015625,181.83004760742188
2025-09-30,253.9116668701172,219.57000732421875,514.6903686523438,186.55950927734375
2025-10-01,254.72933959960938,220.6300048828125,516.4393310546875,187.21945190429688
2025-10-02,256.40460205078125,222.41000366210938,512.4942626953125,188.8692626953125
2025-10-03,257.2920837402344,219.50999450683594,514.0940551757812,187.59939575195312
2025-10-06,255.96583557128906,220.89999389648438,525.2435302734375,185.51962280273438
2025-10-07,255.75645446777344,221.77999877929688,520.682373046875,185.01968383789062
2025-10-08,257.3320007324219,225.22000122070312,521.546875,189.0892333984375
2025-10-09,253.32330322265625,227.74000549316406,519.1123657226562,192.54885864257812
2025-10-10,244.5780792236328,216.3699951171875,507.74432373046875,183.139892578125
2025-10-13,246.96133422851562,220.07000732421875,510.81488037109375,188.29933166503906
